PAPER,Eyes Open/Closed/Fixated,Scanning parameters (TR),Duration of scan,Preprocessing Software,Global signal regression,Motion regression,White matter regression,CSF regression,Tesla ,Manufacterer,Coil Channel,Sequences Collected?,# of Slices,Slice Thickness,Voxel Size,
"Li (2020b) Nanjing, China",closed,2000 ms,486 s,D PABI(?),yes,yes,yes,yes,3 Tesla,Philips Ingenia,8 channel,"T2 Gradient-echo, echo-planar sequence",36,4,-,dual-echo fast
"Vergara (2017) NM, USA",fixated,2000 ms,300 s,SPM,no,yes,no,no,3 Tesla,Siemens Trio,-,"T2 Gradient-echo, echo-planar sequence",33,4.55,3.75 x 3.75 x 4.55,single-shot
"Hou (2019) Malvern, PA",closed,2000 ms,342 s,AFNI,no,yes,yes,yes,3 Tesla,Siemens Trio,12 channel,"T2 Gradient-echo, echo-planar sequence",36,4,-,
"Orr (2016) Vermont, USA",unfound,2000 ms,600 s,"AFNI, FSL",no,yes,yes,yes,3 Tesla,Philips Achieva,-,"T2 Gradient-echo, echo-planar sequence",33,4,3.75 x 3.75 x 4.0,single-shot
Manning (2017) ,unfound,2500 ms,600 s,FSL,no,yes,yes,yes,3 Tesla,Siemens Trio,64 channel ,"T2 Gradient-echo, echo-planar sequence",45,3,-,
"Murdaugh (2018) AL, USA",unfound,2130 ms,192 volumes,SPM12,unfound,unfound,unfound,unfound,3 Tesla,Siemens Trio,-,"T2 Gradient-echo, echo-planar sequence",-,-,3.0 x 3.0 x 3.0,
"Clough (2018), Victoria, AUS",closed,2500 ms,455 s,FSL,no,yes,yes,yes,3 Tesla,Siemens Prisma,-,"T2 Gradient-echo, echo-planar sequence",-,-,3.4 x 3.4 x 3.4,
"Plourde (2020) Calgary, Canada",fixated,2000 ms,unfound,FMRIB,yes,yes,yes,yes,3 Tesla,GE Discovery,32 channel,"T2 Gradient-echo, echo-planar sequence",64,3.6,-,
"Messé (2013) (Paris, France)",closed,2650 ms,600 s,SPM5,yes,yes,yes,n/a,3 Tesla,Siemens Trio,12 channel,"T2 Gradient-echo, echo-planar sequence",38,-,1.5 x 1.5 x 2,
"Newsome (2013), Houson, TX",open or closed,1700 ms,unfound,AFNI,no,yes,yes,yes,3 Tesla,Philips Achieva,-,"T2 Gradient-echo, echo-planar sequence",32,3.75,-,single-shot
"Li (2020) Nanjing, China",unfound,2000 ms,486 s,"SPM8, REST",yes,yes,yes,yes,3 Tesla,Philips Ingenia,-,"T2 Gradient-echo, echo-planar sequence",36,4,-,dual-echo fast
"Lu (2019) Nanjing, China ",unfound,2000 ms,488 s,"SPM8, REST",unfound,unfound,unfound,unfound,3 Tesla,Philips Ingenia,8 channel ,"T2 Gradient-echo, echo-planar sequence",36,4,-,
Slobonouv (2011),unfound,2000 ms,364 s,"SPM8, CONN",no,no,yes,yes,3 Tesla,Siemens Trio,12 channel,"T2 Gradient-echo, echo-planar sequence",-,-,3.1 x 3.1 x 5.0,dual-echo fast
"Meier (2017) Wisconsin, USA",fixated,2000 ms,360 s,AFNI,no,yes,yes,no,3 Tesla,GE Discovery,32 channel,"T2 Gradient-echo, echo-planar sequence",37,3,2.5 x 2.5 x 3.2,dual-echo fast
Santhanam 2019,unfound,2000 ms,360 s,FSL,unfound,unfound,unfound,unfound,3 Tesla,Philips Achieva,-,"T2 Gradient-echo, echo-planar sequence",-,4,3.75 x 3.75 x 4,
Pagulayan 2020,fixated,2000 ms,2 x 6.5 min ,"FSL, AFNI",no,yes,no,yes,3 Tesla,Philips Achieva,32 channel,"T2 Gradient-echo, echo-planar sequence",39,4,-,single-shot
Roy (2017),unfound,2000 ms,300 s,SPM8,no,yes,yes,yes,3 Tesla,(2) Siemens Trio or Philips Achieva ,-,"T2 Gradient-echo, echo-planar sequence",-,4,-,
Newsome 2016,unfound,2030 ms,245 volumes,SPM8,no,yes,yes,yes,3 Tesla,Siemens Trio,12 channel,"T2 Gradient-echo, echo-planar sequence",40,3,-,
"Newsome #2 (2016) Houston, TX",unfound,2030 ms,245 volumes,SPM8,no,yes,yes,yes,3 Tesla,Siemens Trio,32 channel,"T2 Gradient-echo, echo-planar sequence",40,3,-,
